ec_id,Division,Polling Place Name,Premise_Address_Line_1,Premise_Address_Line_2,Premise_Locality,state,Premise_Postcode,Location_Within_Premise,Access_To_Location,Disabled_Access,VI_Vote_service,Premise Latitude,Premise Longitude,Premise Name
,Bass,Waverley,6 Naroo St,,Waverley,TAS,7250,,,Assistance,,-41.43332,147.19002,Waverley Primary School
,Bass,West Launceston,24-38 Basin Rd,,West Launceston,TAS,7250,,,Assistance,,-41.44964,147.1285,West Launceston Primary School
,Bass,Weymouth,18 Major St,,Weymouth,TAS,7252,,,Assistance,,-41.01518,147.15443,Weymouth Hall
,Bass,Whitemark,9 Patrick St,,Whitemark,TAS,7255,,,Assistance,,-40.1220889,148.0169627,Flinders Arts & Entertainment Centre (FAEC)
,Bass,Winnaleah,20 Main St,,Winnaleah,TAS,7263,,,Assistance,,-41.09807,147.82404,Winnaleah Memorial Hall
,Bass,Youngtown,Cnr Victoria & Napier Sts,,Youngtown,TAS,7249,General purpose hall,,Assistance,,-41.48235,147.16386,Youngtown Primary School
,Braddon,Acton,36 Thorne St,,Acton,TAS,7320,Hall,,Assistance,,-41.07219,145.89258,Burnie Child and Family Centre
,Braddon,Boat Harbour,17386 Bass Hwy,,Boat Harbour,TAS,7321,Hall,,Assistance,,-40.94507,145.63715,Boat Harbour Primary School
,Braddon,Burnie,80 Wilson St,,Burnie,TAS,7320,Atrium on ground floor,,Assistance,1,-41.05317,145.90595,Burnie City Council Offices
,Braddon,Calder,1320 Calder Rd,,Calder,TAS,7325,Main area,,Assistance,,-41.06851,145.63121,Calder Hall
,Braddon,Cooee,Bass Hwy,,Cooee,TAS,7320,Multipurpose room,,Assistance,,-41.040894,145.868525,Cooee Primary School
,Braddon,Currie,Cnr Meech & George Sts,,Currie,TAS,7256,,,Assistance,,-39.92984,143.85416,Currie Town Hall
,Braddon,Devonport Central,57A Stewart St,,Devonport,TAS,7310,Gymnasium,,Assistance,,-41.17993727,146.3577969,Devonport Primary School
,Braddon,Devonport North West,60 Nixon St,,Devonport,TAS,7310,Gymnasium,,Assistance,,-41.1727705,146.3374857,Nixon St Primary School
,Braddon,Devonport South,41-43 Middle Rd,,Devonport,TAS,7310,Staff room,,Assistance,,-41.18904,146.35208,Reece High School
,Braddon,Devonport West,20-36 Valley Rd,,Devonport,TAS,7310,Canteen,,Assistance,,-41.18583,146.34549,TasTafe
,Braddon,Don,17 Forth Rd,,Don,TAS,7310,,,Assistance,,-41.18256,146.31804,Don Memorial Hall
,Braddon,East Devonport,19-31 Thomas St,,East Devonport,TAS,7310,Multipurpose room,,Assistance,,-41.17836,146.37111,East Devonport Primary School
,Braddon,Edith Creek,1282 Trowutta Rd,,Edith Creek,TAS,7330,Hall,,Assistance,,-40.96994,145.09329,Edith Creek Primary School
,Braddon,Elliott,829 Murchison Hwy,,Elliott,TAS,7325,Main hall,,Assistance,,-41.09211,145.78229,Elliott Community Centre
,Braddon,Forest,422 Mengha Rd,,Forest,TAS,7330,Multipurpose room,,Assistance,,-40.84865,145.24893,Forest Primary School
