di_name,pplace,disabled_code,AccessDetails,suburb,Address,FormatAddress,SortId,Longitude,Latitude
King,Golden Grove,F,,GOLDEN GROVE,Golden Grove Uniting Church,"75 One Tree Hill Rd, GOLDEN GROVE",,138.731,-34.7747
King,Golden Grove Central,A,,GOLDEN GROVE,Golden Grove High School,"1 Adey Pl, GOLDEN GROVE",,138.69623,-34.79381
King,Golden Grove East,F,,GOLDEN GROVE,Golden Grove Primary School,"140 Bicentennial Dr, GOLDEN GROVE",,138.70932,-34.78673
King,Greenwith,F,,GREENWITH,Greenwith Community Centre,"The Golden Way, GREENWITH",,138.708679,-34.768078
King,Greenwith West,A,,GREENWITH,Jesus Is Lord Church,"1681 Golden Grove Rd, GREENWITH",,138.708998,-34.767937
King,Hillbank,N,,HILLBANK,Hillbank Community Children's Centre,"10 Penarth Ct, HILLBANK",,138.684422,-34.731614
King,One Tree Hill,A,,ONE TREE HILL,One Tree Hill Institute,"1009 Blacktop Rd, ONE TREE HILL",,138.7654983,-34.71860765
King,Salisbury East North,A,via London Dr,SALISBURY EAST,Tyndale Christian School,"50 Fern Grove Blvd, SALISBURY EAST",,138.67,-34.774
King,Salisbury Heights,F,,SALISBURY HEIGHTS,Salisbury Heights Primary School,"9 Ward St, SALISBURY HEIGHTS",,138.677,-34.7589
King,Salisbury Park,A,,SALISBURY PARK,Salisbury Park Primary School,"66 Goddard Dr, SALISBURY PARK",,138.67,-34.7603
Lee,Albert Park,A,,ALBERT PARK,Good News Lutheran Church,"57-59 Botting St, ALBERT PARK",,138.52157,-34.87703
Lee,Grange,A,via Surrey St,GRANGE,"Grange Primary School, Lawson Hall","39c Jetty St, GRANGE",,138.49675,-34.9025
Lee,Royal Park,A,,ROYAL PARK,Western Strikers Soccer Club,"Kingston Ave, ROYAL PARK",,138.5062547,-34.87335832
Lee,Royal Park South,A,,ROYAL PARK,Hendon Primary School,"162 Cedar Ave, ROYAL PARK",,138.511127,-34.877997
