source,lon,has_run_out,division,booth_info,premises,has_bbq,address,opening_hours,has_other,lat,state,polling_place_name,has_nothing,has_caek,polling_place_type,extra_info,stall_name,stall_description,stall_website,first_report,latest_report
,150.882395,FALSE,Blacktown,,Blacktown Christian Reformed Church,FALSE,"240 Richmond Road, Woodcroft, 2767",,0,-33.749457,NSW,Blacktown Christian Reformed,FALSE,FALSE,Church,,,,,,
,149.646506,FALSE,Bega,,Wyndham Public School,FALSE,"Monaro Street, Wyndham, 2550",,0,-36.929313,NSW,Wyndham Public,FALSE,FALSE,Government School,,,,,,
,150.068833,FALSE,Bega,,Wallaga Lake Koori Village Community Hall,FALSE,"13A Umbarra Road, Wallaga Lake, 2546",,0,-36.352648,NSW,Wallaga Lake Koori Village,FALSE,FALSE,Hall,,,,,,
,149.809225,FALSE,Bega,,Wolumla Memorial Hall,FALSE,"1 Scott Street, Wolumla, 2550",,0,-36.834011,NSW,Wolumla Hall,FALSE,FALSE,Hall,,,,,,
,149.694959,FALSE,Bega,,Towamba Public School,FALSE,"Towamba Street, Towamba, 2550",,0,-37.084746,NSW,Towamba Public,FALSE,FALSE,Government School,,,,,,
,150.124046,FALSE,Bega,,Tuross Head Youth And Sports Centre,FALSE,"Hector Mcwilliam Drive, Tuross Head, 2537",,0,-36.039161,NSW,Tuross Head Youth And Sports Centre,FALSE,FALSE,Other,,,,,,
,149.979285,FALSE,Bega,,Tathra Public School,FALSE,"Bega Street, Tathra, 2550",,0,-36.732783,NSW,Tathra Public,FALSE,FALSE,Government School,,,,,,
,150.189256,FALSE,Bega,,Tomakin Community Centre,FALSE,"Ainslie Parade, Tomakin, 2537",,0,-35.823077,NSW,Tomakin Comm. Cntr,FALSE,FALSE,Other,,,,,,
,153.033245,FALSE,Coffs Harbour,,Bonville Memorial Hall,FALSE,"6 East Bonville Road, Bonville, 2441",,0,-30.380328,NSW,Bonville Hall,FALSE,FALSE,Hall,,,,,,
,149.823566,FALSE,Bega,,Brogo Public Hall,FALSE,"Princes Highway, Brogo, 2550",,0,-36.572984,NSW,Brogo Hall,FALSE,FALSE,Hall,,,,,,
,150.171956,FALSE,Bega,,Broulee Public School,FALSE,"Cambridge Crescent, Broulee, 2537",,0,-35.845492,NSW,Broulee Public,FALSE,FALSE,Government School,,,,,,
,150.075469,FALSE,Bega,,Central Tilba Hall,FALSE,"Bate Street, Central Tilba, 2546",,0,-36.313052,NSW,Central Tilba Hall,FALSE,FALSE,Hall,,,,,,
,149.889243,FALSE,Bega,,Cobargo School Of Arts,FALSE,"Bermagui Road, Cobargo, 2550",,0,-36.388832,NSW,Cobargo Arts Hall,FALSE,FALSE,Private School,,,,,,
,150.120742,FALSE,Bega,,Dalmeny Community Hall (Fire Shed),FALSE,"Mort Avenue, Dalmeny, 2546",,0,-36.162001,NSW,Dalmeny-Kianga RFS,FALSE,FALSE,Hall,,,,,,
,150.292622,FALSE,Bega,,Durras Progress Hall,FALSE,"Corilla Street, Durras, 2536",,0,-35.664169,NSW,Durras Hall,FALSE,FALSE,Hall,,,,,,
,149.906807,FALSE,Bega,,Eden Marine High School,FALSE,"Barclay Street, Eden, 2551",,0,-37.055997,NSW,Eden Marine High,FALSE,FALSE,Government School,,,,,,
,150.234185,FALSE,Bega,,Long Beach Fire Brigade Station,FALSE,"348 Cullendulla Drive, Long Beach, 2536",,0,-35.69628,NSW,Long Beach RFS,FALSE,FALSE,Other,,,,,,
,150.2251801,FALSE,Bega,,Malua Bay Community Centre,FALSE,"587 George Bass Drive, Malua Bay, 2536",,0,-35.79730106,NSW,Malua Bay Comm. Cntr,FALSE,FALSE,Other,,,,,,
