polling_place_name,lon,division,booth_info,premises,opening_hours,has_bbq,address,source,state,lat,has_nothing,has_caek,extra_info,polling_place_type,has_run_out,has_other,stall_name,stall_description,stall_website,first_report,latest_report
Jolimont,115.809,Curtin,Main gate on Hay St.,Jolimont Primary School,,FALSE,Hay St,,WA,-31.9488,FALSE,FALSE,Assisted,,,,,,,,
Leederville,115.842,Curtin,College Cafeteria entrance off Richmond St.,Central College of TAFE Leederville Campus,,FALSE,Richmond St,,WA,-31.9337,TRUE,FALSE,Assisted,,,,,,,,
Leederville North,115.842,Curtin,"Gym, entrance off Franklin St.",Aranmore College,,FALSE,Franklin St,,WA,-31.9273,FALSE,FALSE,Assisted,,,,,,,,
Leederville West,115.833,Curtin,Woolwich St.,West Leederville Primary School,,TRUE,Northwood St,,WA,-31.9391,FALSE,FALSE,Assisted,,,,,,,,
Oakford,115.9230259,Canning,Entrance through to hall area from car park.,Oakford Community Hall,,FALSE,Foxton Dr,,WA,-32.1896095,FALSE,FALSE,Assisted,,,,,,,,
Sorrento Beach,115.748,Moore,"Entry 2, Hocking Pde and entry 3, Bahama Close.All other gates will be locked.",Sacred Heart College,,FALSE,Hocking Parade,,WA,-31.8273,FALSE,FALSE,Assisted,,,,,,,,
Albany,117.89,O'Connor,entrance to Hall,Albany Primary School,,FALSE,Suffolk St,,WA,-35.0203,FALSE,FALSE,Full,,,,,,,,
Albany Centennial Park,117.8821241,O'Connor,Main entrance,Centennial Park PCYC,,FALSE,Sanford Rd,,WA,-35.0105199,FALSE,FALSE,Full,,,,,,,,
Albany Central,117.883,O'Connor,entrance to building,Albany Senior Citizens Centre,,FALSE,Grey St West,,WA,-35.0237,FALSE,FALSE,Full,,,,,,,,
Padbury,115.7602998,Moore,Entry to polling place: MacDonald Ave,Padbury Primary School,,FALSE,MacDonald Ave,,WA,-31.8045937,FALSE,FALSE,Assisted,,,,,,,,
Padbury South,115.764,Moore,Entry to polling place: Warburton Ave,South Padbury Primary School,,FALSE,Warburton Ave,,WA,-31.8123,FALSE,FALSE,Assisted,,,,,,,,
Perth (Moore),115.8612921,Moore,,City of Perth Council House,,FALSE,St Georges Tce,,WA,-31.9564376,FALSE,FALSE,Assisted,,,,,,,,
Sorrento,115.761,Moore,Entry to polling place: Elfreda Ave,Sorrento Primary School,,TRUE,Elfreda Ave,,WA,-31.8305,FALSE,TRUE,Assisted,,,,,,,,
Ongerup,118.487,O'Connor,entrance to school property,Ongerup Primary School,,FALSE,Lamont St,,WA,-33.9636,FALSE,FALSE,Assisted,,,,,,,,
Albany Lockyer,117.855,O'Connor,entrance to school property,Mt Lockyer Primary School,,FALSE,South Coast Hwy,,WA,-35.0015,FALSE,FALSE,Full,,,,,,,,
Albany Middleton Beach,117.9167727,O'Connor,,Three Anchors Middleton Beach,,FALSE,2 Flinders Pde,,WA,-35.0255329,FALSE,FALSE,Full,,,,,,,,
Parryville,117.137,O'Connor,entrance to hall,Parryville Hall,,FALSE,South Coast Hwy,,WA,-34.9971,FALSE,FALSE,Assisted,,,,,,,,
Fremantle,115.74979,Fremantle,enter off Point St,St Patrick's Primary School,,FALSE,8 Ellen St,,WA,-32.05218,FALSE,FALSE,Assisted,,,,,,,,
East Fremantle,115.76,Fremantle,Entrance from carpark off Forrest St.,East Fremantle Primary School,,TRUE,Forrest St,,WA,-32.0484,FALSE,TRUE,None,,,,,,,,
Beeliar West,115.79791,Fremantle,Enter from main carpark off Ivankovich Ave.,South Coogee Primary School,,FALSE,Ivankovich Ave,,WA,-32.12946,FALSE,FALSE,Assisted,,,,,,,,
Beeliar,115.8213,Fremantle,Enter via carpark off The Grange,Beeliar Primary School,,FALSE,The Grange,,WA,-32.13325,FALSE,FALSE,Assisted,,,,,,,,
Beaconsfield,115.7581778,Fremantle,,South Fremantle Senior High School,,FALSE,171 Lefroy Rd,,WA,-32.0676296,FALSE,FALSE,Assisted,,,,,,,,
Atwell South,115.86472,Fremantle,Main entrance is off Windchime Tce.,Harmony Primary School,,FALSE,Aurora Dr,,WA,-32.15063,FALSE,FALSE,Assisted,,,,,,,,
Coolbellup,115.808,Fremantle,Main entrance is through carpark off Waverley Rd Secondary entrance is from Cordelia Ave.,Coolbellup Community School,,FALSE,Waverley Rd,,WA,-32.081,TRUE,FALSE,Assisted,,,,,,,,
Coogee Beach,115.772,Fremantle,enter via carpark off Mayor Rd,Coogee Primary School,,FALSE,Mayor Rd,,WA,-32.1262,TRUE,FALSE,Assisted,,,,,,,,
Bicton,115.78605,Fremantle,Access via carpark off Foss St.,Bicton Primary School,,FALSE,View Tce,,WA,-32.0329,FALSE,FALSE,None,,,,,,,,
Bibra Lake,115.839,Fremantle,Entry from main carpark off Annois Rd into undercover area.,Bibra Lake Primary School,,TRUE,Annois Rd,,WA,-32.0952,FALSE,TRUE,Assisted,,,,,,,,
Maddington,116.004,Hasluck,Main gate entrance will be open on Pitchford Ave.,East Maddington Primary School,,TRUE,Pitchford Ave,,WA,-32.055,FALSE,FALSE,Assisted,,,,,,,,
Maddington East,116.009,Hasluck,Enter from Dellar Road.,Yule Brook College,,FALSE,Dellar Rd,,WA,-32.0492,FALSE,FALSE,None,,,,,,,,
Lesmurdie,116.0457773,Hasluck,Booth access off Willoughby Rd,Lesmurdie Primary School,,TRUE,Sanderson Rd,,WA,-32.004057,FALSE,FALSE,Assisted,,,,,,,,
Lesmurdie North,116.047019,Hasluck,Parking Off Burma Rd. Polling Place loca tion off Falls Rd.,Falls Road Primary School,,TRUE,50 Falls Rd,,WA,-31.992162,FALSE,TRUE,None,,,,,,,,
Kenwick,115.979548,Hasluck,Parking and Booth access off Duketon Way,East Kenwick Primary School,,FALSE,96 Kenwick Rd,,WA,-32.031703,FALSE,FALSE,Assisted,,,,,,,,
Koongamia,116.043,Hasluck,Booth access off Wangalla Rd,Clayton View Primary School,,FALSE,Clayton St,,WA,-31.9069,FALSE,FALSE,Assisted,,,,,,,,
Kalamunda,116.056178,Hasluck,Parking off Canning Rd,Jack Healy Centre,,FALSE,21 Mead St,,WA,-31.977879,FALSE,FALSE,Assisted,,,,,,,,
Kalamunda North,116.051,Hasluck,Entrance from Heath Road.,Kalamunda Primary School,,FALSE,Heath Rd,,WA,-31.9713,FALSE,FALSE,Assisted,,,,,,,,
High Wycombe South,116.004775,Hasluck,Main entrance,High Wycombe Community & Recreation Centre,,FALSE,200 Newburn Rd,,WA,-31.94656,FALSE,FALSE,Assisted,,,,,,,,
Thornlie West,115.952,Hasluck,Enter through small gate off Sage Rd,Yale Primary School,,FALSE,cnr Yale & Sage Rds,,WA,-32.0502,FALSE,FALSE,Assisted,,,,,,,,
