state,lon,division,booth_info,premises,opening_hours,polling_place_type,has_bbq,has_other,source,lat,polling_place_name,has_nothing,has_caek,address,extra_info,has_run_out,stall_name,stall_description,stall_website,first_report,latest_report
QLD,152.360856,Bundaberg,,State School,,Government School,FALSE,,,-24.870659,Bundaberg South,FALSE,FALSE,"Walla Street, BUNDABERG, 4670",,,,,,,
QLD,148.98705,Warrego,,Hospital,,Hospital,FALSE,,,-28.971207,Mungindi,FALSE,FALSE,"86-89 Barwon Street, MUNGINDI, 2406",,,,,,,
QLD,153.144283,Pumicestone,,Bribie Island Volunteer Marine Rescue,,Other,FALSE,,,-27.062992,Bellara,FALSE,FALSE,"4 Marine Parade, BELLARA, 4507",,,,,,,
QLD,152.967153,Morayfield,,State School,,Government School,TRUE,"{""coffee"":false,""vego_sausages"":false,""halal"":false,""bacon_egg"":false,""other"":""""}",Twitter,-27.11745,Morayfield East,FALSE,FALSE,"107 Graham Road, MORAYFIELD, 4506",,,,,,,
QLD,146.264241,Dalrymple,,Richmond Hill State School,,Government School,FALSE,,,-20.061888,Charters Towers North,FALSE,FALSE,"Baker Street, CHARTERS TOWERS, 4820",,,,,,,
QLD,145.386141,Dalrymple,,QCWA Hall,,Hall,FALSE,,,-17.382152,Herberton,FALSE,FALSE,"16 William Street, Herberton, 4887",,,,,,,
QLD,151.812279,Southern Downs,,State School,,Government School,FALSE,,,-28.594661,Amiens,FALSE,FALSE,"1337 Amiens Road, AMIENS, 4352",,,,,,,
QLD,151.02349,Warrego,,State School,,Government School,FALSE,,,-26.509204,Burra Burri,FALSE,FALSE,"3173 Burra Burri Creek Road, BURRA BURRI, 4410",,,,,,,
QLD,152.95909,"Kallangur, Morayfield, Murrumba",,State School,,Government School,TRUE,"{""coffee"":false,""vego_sausages"":false,""halal"":false,""bacon_egg"":false,""other"":""""}",Twitter,-27.158061,Burpengary,FALSE,FALSE,"35 Station Road, BURPENGARY, 4505",,,,,,,
QLD,146.285008,Hinchinbrook,,State School,,Government School,FALSE,,,-18.583888,Halifax,FALSE,FALSE,"17 Victoria Terrace, HALIFAX, 4850",,,,,,,
QLD,149.384324,Warrego,,Memorial Hall,,Hall,FALSE,,,-26.612141,Yuleba,FALSE,FALSE,"14 Garden Street, YULEBA, 4427",,,,,,,
QLD,153.128722,Kawana,,Hope Church,,Church,FALSE,"{""coffee"":false,""vego_sausages"":false,""halal"":false,""bacon_egg"":false,""other"":""""}",Twitter,-26.720711,Warana,FALSE,FALSE,"6 Kawana Island Boulevard, WARANA, 4575",,,,,,,
