polling_place_name,lon,division,booth_info,premises,opening_hours,has_bbq,address,source,state,lat,has_nothing,has_caek,extra_info,polling_place_type,has_run_out,has_other,stall_name,stall_description,stall_website,first_report,latest_report
Altona Meadows (Lalor),144.78,Lalor,"Hall, assisted wheelchair access",Primary School,7 Sep 2013 8:00-18:00,FALSE,78 Alma Ave   ALTONA MEADOWS VIC 3028,,VIC,-37.8685,FALSE,FALSE,,,,,,,,,
Seabrook (Lalor),144.758,Lalor,"Gymnasium, assisted wheelchair access",Seabrook Primary School,7 Sep 2013 8:00-18:00,FALSE,85-103 Point Cook Rd SEABROOK VIC 3028,,VIC,-37.8786,FALSE,FALSE,,,,,,,,,
Narrandera West,146.548,Riverina,assisted wheelchair access,Narrandera Public School,7 Sep 2013 8:00-18:00,FALSE,Adams St NARRANDERA NSW 2700,,NSW,-34.7449,FALSE,FALSE,,,,,,,,,
Marrar,147.3516169,Riverina,assisted wheelchair access,Marrar Public School,7 Sep 2013 8:00-18:00,FALSE,Centenary Dr   MARRAR NSW 2652,,NSW,-34.827322,FALSE,FALSE,,,,,,,,,
Matong,146.928,Riverina,no wheelchair access,Matong Public School,7 Sep 2013 8:00-18:00,FALSE,Canola Way   MATONG NSW 2652,,NSW,-34.7698,FALSE,FALSE,,,,,,,,,
Kewdale West,115.922,Swan,assisted wheelchair access,Carlisle Primary School,8/9/13,TRUE,Orrong Rd   KEWDALE WA 6105,,WA,-31.9728,FALSE,FALSE,,,,,,,,,
Merriwagga,145.625,Riverina,assisted wheelchair access,Merriwagga Community Hall,7 Sep 2013 8:00-18:00,FALSE,Mons St   MERRIWAGGA NSW 2652,,NSW,-33.8165,FALSE,FALSE,,,,,,,,,
Mirrool,147.088,Riverina,assisted wheelchair access,Mirrool Community Hall,7 Sep 2013 8:00-18:00,FALSE,Edward St   MIRROOL NSW 2665,,NSW,-34.3057,FALSE,FALSE,,,,,,,,,
Mount Austin,147.352,Riverina,assisted wheelchair access,Mount Austin Public School,7 Sep 2013 8:00-18:00,FALSE,Bourke St   MOUNT AUSTIN NSW 2650,,NSW,-35.1351,FALSE,FALSE,,,,,,,,,
Murrami,146.304,Riverina,assisted wheelchair access,Murrami Community Hall,7 Sep 2013 8:00-18:00,FALSE,189 Wattle Ave MURRAMI NSW 2705,,NSW,-34.4262,FALSE,FALSE,,,,,,,,,
