polling_place_name,lon,division,booth_info,premises,opening_hours,has_bbq,address,source,state,lat,has_nothing,has_caek,extra_info,polling_place_type,has_run_out,has_other,first_report,latest_report,stall_name,stall_description,stall_website
Bona Vista Primary School,145.95991,Narracan District,,Bona Vista,,FALSE, Bona Vista Road Bona Vista 96 H5,,VIC,-38.21052,FALSE,FALSE,,,,,,,,,
Trafalgar Primary School,146.15987,Narracan District,,Trafalgar,,TRUE, School Road Trafalgar 703 S11,,VIC,-38.21476,FALSE,TRUE,,,,,,,,,
Vision Australia Warragul,145.945277,Narracan District,,Warragul East,,FALSE, 2a Mouritz Street Warragul 337 S9,,VIC,-38.161364,FALSE,FALSE,,,,,,,,,
Drouin Secondary College,145.85098,Narracan District,,Drouin College,,FALSE, Main South Road Drouin 706 E9,,VIC,-38.14466,FALSE,FALSE,,,,,,,,,
Neerim Junction Public Hall,145.961333,Narracan District,,Neerim Junction,,FALSE, Main Neerim Road Neerim Junction 80 H8,,VIC,-37.928277,FALSE,FALSE,,,,,,,,,
Longwarry Public Hall,145.767716,Narracan District,,Longwarry,,FALSE, 14 Kennedy Street Longwarry 707 O11,,VIC,-38.113866,FALSE,FALSE,,,,,,,,,
Father Pooley Memorial Hall,145.602414,Narracan District,,Maryknoll,,FALSE, 70 Girrahween Road Maryknoll 96 B2,,VIC,-38.032978,FALSE,FALSE,,,,,,,,,
St Paul's Anglican Church  Hall,145.930934,Narracan District,,Warragul,,FALSE, 96 Victoria Street Warragul 704 F5,,VIC,-38.157507,FALSE,FALSE,,,,,,,,,
Nar Nar Goon Community Centre,145.573202,Narracan District,,Nar Nar Goon,,FALSE, Spencer Street Nar Nar Goon 96 B3,,VIC,-38.082622,FALSE,FALSE,,,,,,,,,
Angliss Senior Citizens Hall,144.906621,Footscray District,,Footscray Park,,FALSE, 24 Vipont Street Footscray 42 E3,,VIC,-37.796543,FALSE,FALSE,,,,,,,,,
Ardeer South Primary School,144.799,Footscray District,,Ardeer South,,FALSE, 59-75 Murray Street Sunshine West 3020 40 A1,,VIC,-37.7884,FALSE,FALSE,,,,,,,,,
Sunshine Special Development School,144.819889,Footscray District,,Glengala South,,FALSE, Ivory Court (access via Mounsey Street) Sunshine West 40 E5,,VIC,-37.803435,FALSE,FALSE,,,,,,,,,
Kingsville Kindergarten,144.871271,Footscray District,,Kingsville West,,FALSE, 35A Roberts Street West Footscray 41 G5,,VIC,-37.804198,FALSE,FALSE,,,,,,,,,
The Knox School,145.219111,Ferntree Gully District,,Flamingo,,TRUE, 220 Burwood Highway Wantirna South 63 E10,,VIC,-37.864579,FALSE,FALSE,,,,,,,,,
Peninsula Community Theatre,145.040321,Mornington District,,Mornington South,,FALSE, Wilsons Road Mornington 145 E2,,VIC,-38.231849,FALSE,FALSE,,,,,,,,,
Glengala Community Centre Hall,144.815974,Footscray District,,Glengala,,FALSE, corner Glengala Road and Simmie Street Sunshine West 40 D2,,VIC,-37.790258,FALSE,FALSE,,,,,,,,,
Maribyrnong River Community Centre,144.887571,Footscray District,,Maribyrnong River,,FALSE, 9 Randall Street Maribyrnong 28 A7,,VIC,-37.767276,FALSE,FALSE,,,,,,,,,
Osborne Primary School,145.040048,Mornington District,,Osborne,,TRUE, corner Craigie and Dunns Roads Mount Martha 145 E9,,VIC,-38.257306,FALSE,TRUE,Car boot sale!,,,,,,,,
Moorooduc Primary School,145.10517,Mornington District,,Moorooduc,,FALSE, Mornington-Tyabb Roads Moorooduc 146 K7,,VIC,-38.24809,FALSE,FALSE,,,,,,,,,
Mount Eliza Secondary College,145.09381,Mornington District,,Mt Eliza,,FALSE, Canadian Bay Road Mount Eliza 105 G3,,VIC,-38.19014,FALSE,FALSE,,,,,,,,,
Mt Martha Primary School,145.01373,Mornington District,,Mt Martha,,FALSE, Glenisla Drive Mount Martha 150 J2,,VIC,-38.27556,FALSE,FALSE,,,,,,,,,
Mornington Park Primary School,145.05817,Mornington District,,Tanti Park,,FALSE, Robertson Drive Mornington 104 J12,,VIC,-38.22602,FALSE,FALSE,,,,,,,,,
Benton Junior College,145.06111,Mornington District,,Mornington East,,FALSE, 261 Racecourse Road Mornington 145 J6,,VIC,-38.24595,TRUE,FALSE,,,,,,,,,
St Mark's Uniting Church,145.037589,Mornington District,,Mornington,,FALSE, 50 Barkly Street Mornington 104 E11,,VIC,-38.221454,FALSE,FALSE,,,,,,,,,
Sussex Heights Primary School,145.109644,Oakleigh District,,Sussex Heights,,TRUE, 36 Solomon Street Mount Waverley 70 A4,,VIC,-37.8886,FALSE,TRUE,,,,,,,,,
St Peter's Parish Hall,145.062661,Oakleigh District,,Carnegie East,,FALSE, 371 Neerim Road Carnegie 68 K5,,VIC,-37.890144,FALSE,FALSE,,,,,,,,,
Monash Uniting Church Hall,145.124853,Oakleigh District,,Clayton North,,FALSE, 1937 Dandenong Road Clayton 70 D11,,VIC,-37.912371,FALSE,FALSE,,,,,,,,,
Emmanuel Anglican Church Hall,145.090198,Oakleigh District,,Oakleigh Central,,FALSE, 26 Abbeygate Street Oakleigh 69 F9,,VIC,-37.906509,FALSE,FALSE,,,,,,,,,
Carnegie Primary School,145.054986,Oakleigh District,,Carnegie,,TRUE, 51 Truganini Road Carnegie 68 H5,,VIC,-37.890159,FALSE,TRUE,Christmas market!,,,,,,,,
Oakleigh Primary School,145.088768,Oakleigh District,,Oakleigh,,TRUE, corner Warrigal Road and Logie Street Oakleigh 69 F6,,VIC,-37.894908,FALSE,TRUE,,,,,,,,,
Amsleigh Park Primary School,145.10833,Oakleigh District,,Oakleigh East,,TRUE, State Street Oakleigh East 70 A7,,VIC,-37.89949,FALSE,TRUE,,,,,,,,,
St Patrick's School,145.064894,Oakleigh District,,Murrumbeena South,,FALSE, 6 Dalny Road Murrumbeena 69 A8,,VIC,-37.901924,FALSE,FALSE,,,,,,,,,
Notting Hill Neighbourhood House,145.149379,Oakleigh District,,Monash East,,FALSE, 37 Westerfield Drive Notting Hill 70 K9,,VIC,-37.906233,FALSE,FALSE,,,,,,,,,
St Anthony's Parish Primary School,145.046641,Oakleigh District,,Carnegie West,,TRUE, corner Neerim and Grange Roads Carnegie 68 F4,,VIC,-37.887105,FALSE,FALSE,,,,,,,,,
Briar Hill Primary School,145.11622,Eltham District,,Briar Hill,,TRUE, 25 Gladstone Road Briar Hill 21 B3,,VIC,-37.70831,FALSE,TRUE,,,,,,,,,
Lowther Hall Anglican Grammar School,144.914721,Essendon District,,Moonee Ponds,,FALSE, 17 Leslie Road Moonee Ponds 28 G5,,VIC,-37.759406,FALSE,FALSE,,,,,,,,,
Diamond Valley Special Development School,145.11165,Eltham District,,Apollo Parkways,,FALSE, 14-24 Brentwick Drive Greensborough 11 A9,,VIC,-37.68675,FALSE,FALSE,,,,,,,,,
Montmorency South Primary School,145.12947,Eltham District,,Montmorency South,,TRUE, 64 Buena Vista Drive Montmorency 21 E8,,VIC,-37.725658,FALSE,TRUE,Monty South Christmas Market,,,,,,,,
Research Primary School,145.183884,Eltham District,,Research,,TRUE, 1570 Main Road Research 22 H2,,VIC,-37.703104,FALSE,TRUE,,,,,,,,,
Eltham Primary School,145.148163,Eltham District,,Eltham,,TRUE, Dalton Street Eltham 21 K8,,VIC,-37.725366,FALSE,TRUE,Eltham Primary School Fete; vegetable burgers available.,,,,,,,,
Eltham North Primary School,145.15092,Eltham District,,Eltham North,,TRUE, 35-47 Wattletree Road Eltham North 21 K1,,VIC,-37.69958,FALSE,TRUE,,,,,,,,,
Holy Trinity Primary School,145.135351,Eltham District,,Holy Trinity - Eltham North,,FALSE, 94 Weidlich Road Eltham North 11 G12,,VIC,-37.698079,FALSE,FALSE,,,,,,,,,
Eltham East Primary School,145.154987,Eltham District,,Eltham East,,FALSE, 16 Grove Street Eltham 22 A4,,VIC,-37.712176,TRUE,FALSE,,,,,,,,,
Doncaster Secondary College,145.13805,Bulleen District,,Doncaster Central,,FALSE, 123 Church Road Doncaster 33 G12,,VIC,-37.78458,FALSE,FALSE,,,,,,,,,
