polling_place_name,lon,division,booth_info,premises,opening_hours,has_bbq,address,source,state,lat,has_nothing,has_caek,extra_info,polling_place_type,has_run_out,has_other,stall_name,stall_description,stall_website,first_report,latest_report
Cummins,135.727834,Flinders, ;  Assisted Wheelchair Access,Cummins Community Hall,,FALSE,46 Railway Tce CUMMINS SA,,SA,-34.264834,FALSE,FALSE,,,,,,,,,
Croydon Park,138.566049,Croydon, ;  Assisted Wheelchair Access,Church of the Nazarene,,FALSE,60 Days Rd CROYDON PARK SA,,SA,-34.880251,FALSE,FALSE,,,,,,,,,
Crystal Brook,138.207347,Frome, ;  Full Wheelchair Access,Crystal Brook Institute,,FALSE,21 Bowman St CRYSTAL BROOK SA,,SA,-33.351642,FALSE,FALSE,,,,,,,,,
Darke Peak,136.1991104,Flinders, ;  Assisted Wheelchair Access,Darke Peak Sporting Complex,,FALSE,Cnr Carapee Hill & Balumbah Kinnard Rds DARKE PEAK SA,,SA,-33.4665558,FALSE,FALSE,,,,,,,,,
Dernancourt,138.672848,Torrens, ;  Full Wheelchair Access,Dernancourt Primary School,,FALSE,29 Parsons Rd DERNANCOURT SA,,SA,-34.861134,FALSE,FALSE,,,,,,,,,
Currency Creek,138.7729949,Hammond, ;  Assisted Wheelchair Access,Currency Creek Community Hall,,FALSE,Alexandrina Rd CURRENCY CREEK SA,,SA,-35.439732,FALSE,FALSE,,,,,,,,,
Blackwood Central,138.614946,Davenport,Cnr Waite Street;  Full Wheelchair Access,Blackwood Church of Christ Hall,,FALSE,367 Shepherds Hill Rd BLACKWOOD SA,,SA,-35.020906,FALSE,FALSE,,,,,,,,,
Blackwood,138.619936,Davenport, ;  Assisted Wheelchair Access,Blackwood Hills Baptist Church,,FALSE,72 Coromandel Pde BLACKWOOD SA,,SA,-35.029545,FALSE,FALSE,,,,,,,,,
Beverley,138.548398,Croydon, ;  Assisted Wheelchair Access,Maltese Cultural Centre,,FALSE,6 Jeanes St BEVERLEY SA,,SA,-34.892463,FALSE,FALSE,,,,,,,,,
Berri,140.5981672,Chaffey, ;  Full Wheelchair Access,Berri Masonic Lodge Hall,,TRUE,2-4 McIntosh St BERRI SA,,SA,-34.2843912,FALSE,FALSE,,,,,,,,,
Bellevue Heights,138.588927,Davenport, ;  Full Wheelchair Access,Bellevue Heights Primary School,,FALSE,17-19 Vaucluse Cres BELLEVUE HEIGHTS SA,,SA,-35.028943,FALSE,FALSE,,,,,,,,,
Bedford Park,138.5677775,Davenport, ;  Full Wheelchair Access,Flinders Medical Centre,,FALSE,Womens Health Clinic Flinders Dr BEDFORD PARK SA,,SA,-35.0232198,FALSE,FALSE,,,,,,,,,
Black Forest East,138.580944,Ashford,enter via Canterbury Tce;  Assisted Wheelchair Access,Clarence Park Community Centre,,FALSE,72-74 East Ave BLACK FOREST SA,,SA,-34.960567,FALSE,FALSE,,,,,,,,,
Black Forest,138.5728988,Ashford,enter via School Ave;  Assisted Wheelchair Access,Black Forest Primary School,,FALSE,679 South Rd BLACK FOREST SA,,SA,-34.9607527,FALSE,FALSE,,,,,,,,,
Birkenhead,138.495264,Lee, ;  Full Wheelchair Access,Le Fevre Peninsula Primary School,,FALSE,Shorney St BIRKENHEAD SA,,SA,-34.839759,FALSE,FALSE,,,,,,,,,
Birdwood,138.9551297,Kavel,via Pflaum Street;  Assisted Wheelchair Access,Birdwood Primary School,,FALSE,Shannon St BIRDWOOD SA,,SA,-34.8202391,FALSE,FALSE,,,,,,,,,
Largs Bay Central,138.4959668,Port Adelaide, ;  Full Wheelchair Access,St Albans Anglican Church,,FALSE,Jetty Rd LARGS BAY SA,,SA,-34.8258153,FALSE,FALSE,,,,,,,,,
Largs Bay,138.4949362,Port Adelaide, ;  Assisted Wheelchair Access,Largs Bay Primary School,,FALSE,Cnr Fletcher Rd & Centre St LARGS BAY SA,,SA,-34.8240065,FALSE,FALSE,,,,,,,,,
Lockleys North,138.537705,Colton, ;  Full Wheelchair Access,Lockleys North Primary School,,FALSE,55 Malurus Ave LOCKLEYS SA,,SA,-34.920681,FALSE,FALSE,,,,,,,,,
Lockleys,138.5265778,West Torrens, ;  Assisted Wheelchair Access,Christ the King Church,,FALSE,456 Henley Beach Rd LOCKLEYS SA,,SA,-34.9260559,FALSE,FALSE,,,,,,,,,
Melrose Park,138.5793154,Ashford, ;  Full Wheelchair Access,Edwardstown Primary School,,FALSE,Maria St MELROSE PARK SA,,SA,-34.9792113,FALSE,FALSE,,,,,,,,,
Mansfield Park,138.551214,Port Adelaide,Dudley Street;  Full Wheelchair Access,St Patricks School,,FALSE,33a Dudley St MANSFIELD PARK SA,,SA,-34.854431,FALSE,FALSE,,,,,,,,,
South Plympton North,138.560056,Ashford, ;  Assisted Wheelchair Access,Vermont Uniting Church,,FALSE,578 Cross Rd SOUTH PLYMPTON SA,,SA,-34.967421,FALSE,FALSE,,,,,,,,,
Southend,140.1285807,MacKillop, ;  Assisted Wheelchair Access,Southend Community Club,,FALSE,Eliza St SOUTHEND SA,,SA,-37.5690625,FALSE,FALSE,,,,,,,,,
Solomontown,138.019375,Frome, ;  Full Wheelchair Access,Solomontown Primary School,,FALSE,79 Three Chain Rd SOLOMONTOWN SA,,SA,-33.189284,FALSE,FALSE,,,,,,,,,
South Brighton,138.5286355,Bright, ;  Assisted Wheelchair Access,South Brighton Community Hall,,FALSE,Dover Square SOUTH BRIGHTON SA,,SA,-35.0252911,FALSE,FALSE,,,,,,,,,
Smoky Bay,133.936365,Flinders, ;  Assisted Wheelchair Access,Smoky Bay CFS Station,,FALSE,1 Tremaine St SMOKY BAY SA,,SA,-32.373495,FALSE,FALSE,,,,,,,,,
Snowtown,138.215213,Frome, ;  Full Wheelchair Access,Snowtown Soldiers Memorial Hall,,FALSE,22 Railway Tce SNOWTOWN SA,,SA,-33.781214,FALSE,FALSE,,,,,,,,,
Sheidow Park South,138.536206,Mitchell, ;  Full Wheelchair Access,Woodend Primary School,,TRUE,10-22 Edward Beck Dr SHEIDOW PARK SA,,SA,-35.079445,FALSE,FALSE,,,,,,,,,
Smithfield,138.688171,Napier,via the small carpark in front of the hall;  Full Wheelchair Access,ECH Residential Care Centre,,FALSE,1 Warooka Drive SMITHFIELD SA,,SA,-34.6860752,FALSE,FALSE,,,,,,,,,
Semaphore South,138.4830821,Lee,entrance via Hart St;  Full Wheelchair Access,Le Fevre High School,,FALSE,Hart St SEMAPHORE SOUTH SA,,SA,-34.8446223,FALSE,FALSE,,,,,,,,,
Sheidow Park,138.53227,Mitchell, ;  Full Wheelchair Access,Sheidow Park Primary School,,FALSE,21-43 Adams Rd SHEIDOW PARK SA,,SA,-35.071412,FALSE,FALSE,,,,,,,,,
Paracombe,138.784955,Morialta, ;  Assisted Wheelchair Access,Paracombe CFS Fire Station,,TRUE,Paracombe Rd PARACOMBE SA,,SA,-34.839241,FALSE,FALSE,,,,,,,,,
Para Hills West,138.6531654,Playford, ;  No Wheelchair Access,Para Hills West Primary School,,FALSE,21 Balkara Rd PARA HILLS WEST SA,,SA,-34.8010723,FALSE,FALSE,,,,,,,,,
Owen,138.5446172,Goyder, ;  Assisted Wheelchair Access,Owen Hall,,FALSE,Railway Tce OWEN SA,,SA,-34.2689093,FALSE,FALSE,,,,,,,,,
Ottoway,138.527088,Port Adelaide, ;  Assisted Wheelchair Access,Junction Community Centre,,FALSE,Cnr Grand Junction Rd & May Tce OTTOWAY SA,,SA,-34.8514367,FALSE,FALSE,,,,,,,,,
Palmer,139.160892,Schubert,via Olive Drive & archway to Centenary Memorial Drive;  Assisted Wheelchair Access,Palmer Hall,,FALSE,Adelaide-Mannum Rd PALMER SA,,SA,-34.8529602,FALSE,FALSE,,,,,,,,,
Padthaway,140.4971311,MacKillop, ;  Assisted Wheelchair Access,Padthaway Primary School,,FALSE,Vogelsang Rd PADTHAWAY SA,,SA,-36.5939709,FALSE,FALSE,,,,,,,,,
One Tree Hill,138.7663096,Napier, ;  No Wheelchair Access,One Tree Hill Primary School,,FALSE,McGilp Rd ONE TREE HILL SA,,SA,-34.7117885,FALSE,FALSE,,,,,,,,,
Oakbank,138.8081557,Kavel, ;  Full Wheelchair Access,Oakbank Area School,,FALSE,154 Onkaparinga Valley Rd OAKBANK SA,,SA,-35.0037528,FALSE,FALSE,,,,,,,,,
O'Sullivan Beach,138.479683,Reynell, ;  Full Wheelchair Access,O'Sullivan Beach Primary School,,FALSE,51 Galloway Rd O'SULLIVAN BEACH SA,,SA,-35.125516,FALSE,FALSE,,,,,,,,,
Orroroo,138.613327,Stuart, ;  Assisted Wheelchair Access,Orroroo Town Hall,,FALSE,17 Second St ORROROO SA,,SA,-32.733558,FALSE,FALSE,,,,,,,,,
Adelaide South,138.6038272,Adelaide,enter off Gilles Street;  Full Wheelchair Access,Gilles St Primary School,,TRUE,91 Gilles St ADELAIDE SA,,SA,-34.9341567,FALSE,FALSE,Plus egg/bacon muffins and drinks,,,,,,,,
Croydon,138.568154,Croydon,enter from Elizabeth Street;  Assisted Wheelchair Access,Church of Christ,,FALSE,49 Elizabeth St CROYDON SA,,SA,-34.894326,FALSE,FALSE,,,,,,,,,
Craigmore North,138.7153497,Napier, ;  Assisted Wheelchair Access,Playford Primary School,,FALSE,Somerset Gr CRAIGMORE SA,,SA,-34.6917827,FALSE,FALSE,,,,,,,,,
