stall_description,lon,has_run_out,has_nothing,has_caek,has_bbq,ess_stall_url,ess_stall_id,latest_report,first_report,stall_website,lat,stall_name,extra_info,source,has_other,polling_place_type,booth_info,opening_hours,address,premises,polling_place_name,division,state
,115.994218,FALSE,FALSE,FALSE,FALSE,,,,,,-31.902572,,,,,Community Hall,,,"Bushmead Road, HAZELMERE WA 6055",Belmont,Hazelmere Community Hall,Belmont,WA
,115.94398,FALSE,FALSE,FALSE,FALSE,,,,,,-31.97528,,,,,Public School,,,"264 Kew Street, KEWDALE WA 6105",Belmont,Kewdale Primary School,Belmont,WA
,115.946244,FALSE,FALSE,FALSE,FALSE,,,,,,-31.948641,,,,,Church,,,"240 Epsom Avenue, BELMONT WA 6104",Belmont,Nations Church,Belmont,WA
,115.91971,FALSE,FALSE,FALSE,FALSE,,,,,,-31.95914,,,,,Public School,,,"99 Acton Avenue, RIVERVALE WA 6103",Belmont,Rivervale Primary School,Belmont,WA
,115.79504,FALSE,FALSE,FALSE,FALSE,,,,,,-32.03439,,,,,Community Hall,,,"Canning Highway, MELVILLE WA 6156",Bicton,Melville Recreation Centre,Bicton,WA
,115.80444,FALSE,FALSE,FALSE,FALSE,,,,,,-32.046,,,,,Public School,,,"18 Potts Street, MELVILLE WA 6156",Bicton,Melville Senior High School,Bicton,WA
,115.77693,FALSE,FALSE,FALSE,FALSE,,,,,,-32.03942,,,,,Church,,,"2 Hammad Street, PALMYRA WA 6157",Bicton,St Peter's Anglican Church Hall,Bicton,WA
,115.768282,FALSE,FALSE,FALSE,FALSE,,,,,,-32.028128,,,,,Community Hall,,,"Wauhop Road, EAST FREMANTLE WA 6158",Bicton,Tricolore Community Centre,Bicton,WA
,115.65088,FALSE,FALSE,FALSE,FALSE,,,,,,-33.349,,,,,Public School,,,"Ecclestone Street , CAREY PARK WA 6230",Bunbury,Carey Park Primary School,Bunbury,WA
,115.622182,FALSE,FALSE,FALSE,FALSE,,,,,,-33.400185,,,,,Public School,,,"14 Hartog Road, DALYELLUP WA 6230",Bunbury,Dalyellup Primary School,Bunbury,WA
,115.62827,FALSE,FALSE,FALSE,FALSE,,,,,,-33.3692,,,,,Public School,,,"Westwood Street, WITHERS WA 6230",Bunbury,Maidens Park Primary School,Bunbury,WA
,115.657596,FALSE,FALSE,FALSE,FALSE,,,,,,-33.358891,,,,,Pre-School,,,"35 Milligan Street, CAREY PARK WA 6230",Bunbury,Milligan House Child Care Centre,Bunbury,WA
,115.68816,FALSE,FALSE,FALSE,FALSE,,,,,,-33.34016,,,,,Public School,,,"123 Jeffrey Road, GLEN IRIS WA 6230",Bunbury,Picton Primary School,Bunbury,WA
,115.6426,FALSE,FALSE,FALSE,FALSE,,,,,,-33.34031,,,,,Pre-School,,,"19 Prosser Street, SOUTH BUNBURY WA 6230",Bunbury,South Bunbury Pre-Primary Centre,Bunbury,WA
,115.64773,FALSE,FALSE,FALSE,FALSE,,,,,,-33.36681,,,,,Other,,,"Bussell Highway, COLLEGE GROVE WA 6230",Bunbury,South West Health Campus,Bunbury,WA
,115.732358,FALSE,FALSE,FALSE,FALSE,,,,,,-31.726537,,,,,Community Hall,,,"14 Mattingsley Approach, BURNS BEACH WA 6028",Burns Beach,Bramston Park Community Centre,Burns Beach,WA
,115.719509,FALSE,FALSE,FALSE,FALSE,,,,,,-31.691082,,,,,Private School,,,"59 Key Largo Drive, CLARKSON WA 6030",Burns Beach,Comet School,Burns Beach,WA
,115.73883,FALSE,FALSE,FALSE,FALSE,,,,,,-31.73087,,,,,Private School,,,"25 Peterborough Drive, CURRAMBINE WA 6028",Burns Beach,Francis Jordan Catholic School,Burns Beach,WA
,115.74209,FALSE,FALSE,FALSE,FALSE,,,,,,-31.71706,,,,,Other,,,"9 MacNaughton Crescent, KINROSS WA 6028",Burns Beach,MacNaughton Clubrooms,Burns Beach,WA
,115.70893,FALSE,FALSE,FALSE,FALSE,,,,,,-31.687,,,,,Public School,,,"90 Rothesay Heights, MINDARIE WA 6030",Burns Beach,Mindarie Primary School,Burns Beach,WA
,115.78549,FALSE,FALSE,TRUE,TRUE,,,2017-03-04 12:48:03.900682+00,2017-03-04 12:48:03.900682+00,,-32.04548,,,Facebook,"{""has_coffee"":true}",Public School,,,"60 McKimmie Road, PALMYRA WA 6157",Bicton,Palmyra Primary School,Bicton,WA
"Sausage sizzle, bacon and egg rolls, home baked goodies, second hand books",115.75865,FALSE,FALSE,TRUE,TRUE,,,2017-03-07 12:52:26.006905+00,2017-03-07 12:52:26.006905+00,,-31.84405,"Marmion Primary School P&C sausage sizzle, cake stall and book sale",,User-submitted,"{""has_vego"":true,""has_bacon_and_eggs"":true}",Public School,,,"7 Cliverton Court, MARMION WA 6020",Carine,Marmion Primary School,Carine,WA
,115.92035,FALSE,FALSE,FALSE,TRUE,,,2017-03-11 05:49:47.147612+00,2017-03-11 05:49:47.147612+00,,-32.03632,,,Twitter,{},Private School,,,"12 Karri Way, FERNDALE WA 6148",Cannington,Fountain College,Cannington,WA
