Polling Location Name,Venue Name,Type,Electorate 1,Electorate 2,Property Name,Flat Number,Street Number,Street Name,Street Type,Locality,Postcode,Melway/Vicroads Ref,Longitude,Latitude
Noorat,Noorat Primary School,Voting Centre,Polwarth District,,,,,McKinnons Bridge,Road,Noorat,3265,90 G5,142.929110175839,-38.1907989259395
Rokewood,Rokewood Primary School,Voting Centre,Polwarth District,,,,38,Aitchison,Street,Rokewood,3330,522 H3,143.722810000114,-37.9036599998781
Simpson,Simpson Primary School Early Childhood Centre,Voting Centre,Polwarth District,,,,,Barrumul,Street,Simpson,3266,91 E9,143.208681868224,-38.4985544969222
Stawell,Stawell Senior Citizens Club Rooms,Voting Centre,Ripon District,,,,9,Victoria,Street,Stawell,3380,550 E8,142.777235,-37.058395
Stawell West,Stawell West Primary School,Voting Centre,Ripon District,,,,80-88,Cooper Street (access via Longfield,Street),Stawell,3380,550 D9,142.770793778672,-37.0659678066991
Talbot,Talbot Primary School,Voting Centre,Ripon District,,,,2,Rowe,Street,Talbot,3371,559 P10,143.703600000114,-37.1686499998634
Willaura,Willaura Primary School,Voting Centre,Lowan District,,,,14,Warranooke,Street,Willaura,3379,555 S3,142.739460000095,-37.5446899998709
Antwerp,Antwerp Public Hall,Voting Centre,Lowan District,,,,,Antwerp-Woorak,Road,Antwerp,3414,26 B6,142.021958998684,-36.2950626969308
Apsley,Apsley Hall,Voting Centre,Lowan District,,,,62,Wallace,Street,Apsley,3319,38 C9,141.082199957041,-36.967793100633
Branxholme,Branxholme Hall,Voting Centre,Lowan District,,,,,McNicol,Street,Branxholme,3302,72 E7,141.796457,-37.857346
Byaduk,Byaduk Mechanics Institute,Voting Centre,Lowan District,,,,5748,Hamilton-Port Fairy,Road,Byaduk,3301,72 H9,141.955724000079,-37.952420999879
Casterton,Casterton Town Hall,Voting Centre,Lowan District,,,,67,Henty,Street,Casterton,3311,500 F3,141.405247,-37.584813
Cavendish,Cavendish Memorial Hall,Voting Centre,Lowan District,,,,,Barker,Street,Cavendish,3314,508C0,142.040161591747,-37.5279654582039
Dadswells Bridge,Dadswells Bridge Public Hall,Voting Centre,Lowan District,,,,5802,Western,Highway,Dadswells Bridge,3385,41 A8,142.51540267807,-36.9181842385699
Dartmoor,Dartmoor Hall,Voting Centre,Lowan District,,,,,Greenham,Street,Dartmoor,3304,501 B4,141.276285,-37.922089
Dergholm,Dergholm Hall,Voting Centre,Lowan District,,,,3502,Casterton-Apsley,Road,Dergholm,3312,53 E7,141.215477,-37.370934
Dooen,Dooen Public Hall,Voting Centre,Lowan District,,,,1025,Henty,Highway,Dooen,3401,40 F4,142.258975216752,-36.6402099415195
Dunkeld,Dunkeld Hall,Voting Centre,Lowan District,,,,,Martin,Street,Dunkeld,3294,73G4,142.342190000087,-37.651344999873
Glenthompson,Glenthompson Memorial Hall,Voting Centre,Lowan District,,,,13,McLennan,Street,Glenthompson,3293,507J3,142.548026000091,-37.6380859998728
Goroke,Goroke Memorial Hall,Voting Centre,Lowan District,,,,,Main,Street,Goroke,3412,543 N11,141.474182000069,-36.7183779998544
Halls Gap,Halls Gap Community Hall,Voting Centre,Lowan District,,,,115,Grampians,Road,Halls Gap,3381,56A4,142.51931500009,-37.1404059998628
