ec_id,Premise Name,Polling Place Name,Address,City,State,Postcode,Location Within Premise,Disabled Access,Premise Latitude,Premise Longitude,Division,Dual polling place,Vision impaired voting service
,Adventure Bay Hall,Adventure Bay Hall,"Adventure Bay Rd,",ADVENTURE BAY,TAS,7150,,None,-43.36172,147.32839,Franklin,,
,Bruny Island District School,Bruny Island District School,"15 School Rd,",ALONNAH,TAS,7150,,With Assistance,-43.31727,147.24625,Franklin,,
,Clarence High School,Clarence High School,"25 Wentworth St,",BELLERIVE,TAS,7018,ET Smith Hall - gymnasium,With Assistance,-42.87885,147.38962,Franklin,,
,Clarence Police & Community Youth Club Inc,Clarence Police & Community Youth Club Inc,"10 Scott St,",BELLERIVE,TAS,7018,hall area,With Assistance,-42.87607,147.37101,Franklin,,
,Adventure Bay Hall,Adventure Bay Hall,"Adventure Bay Rd,",ADVENTURE BAY,TAS,7150,,None,-43.36172,147.32839,Franklin,,
,Bruny Island District School,Bruny Island District School,"15 School Rd,",ALONNAH,TAS,7150,,With Assistance,-43.31727,147.24625,Franklin,,
,Cambridge Primary School,Cambridge Primary School,"976 Cambridge Rd,",CAMBRIDGE,TAS,7170,multipurpose room,With Assistance,-42.83624,147.44195,Franklin,,
,Clarendon Vale Neighbourhood Centre,Clarendon Vale Neighbourhood Centre,"63 Mockridge Rd,",CLARENDON VALE,TAS,7019,,With Assistance,-42.88748,147.443036,Franklin,,
,Cradoc Park,Cradoc Park,"8247 Channel Hwy,",CRADOC,TAS,7109,,With Assistance,-43.10599,147.03397,Franklin,,
,Cygnet Town Hall,Cygnet Town Hall,"Mary St,",CYGNET,TAS,7112,,With Assistance,-43.16204378,147.0774383,Franklin,,
,Dover District School,Dover District School,"6940 Huon Hwy,",DOVER,TAS,7117,hall,With Assistance,-43.31059,147.01313,Franklin,,
,Palais Theatre,Palais Theatre,"3388 Huon Hwy,",FRANKLIN,TAS,7113,main hall,Full,-43.089073,147.010815,Franklin,,
,Geeveston Primary School,Geeveston Primary School,"63 Arve Rd,",GEEVESTON,TAS,7116,"IT lab, via School Road",With Assistance,-43.162271,146.922048,Franklin,,
,Lindisfarne North Primary School,Lindisfarne North Primary School,"271 East Derwent Hwy,",GEILSTON BAY,TAS,7015,gymnasium,None,-42.838335,147.349976,Franklin,,
,Glen Huon Primary School,Glen Huon Primary School,"801 Glen Huon Rd,",GLEN HUON,TAS,7109,multipurpose hall,With Assistance,-43.02819,146.9624,Franklin,,
,Howden Fire Station,Howden Fire Station,"Howden Rd,",HOWDEN,TAS,7054,,With Assistance,-43.02331,147.29143,Franklin,,
,Howrah Scout Hall,Howrah Scout Hall,"Howrah Primary School, Howrah Rd,",HOWRAH,TAS,7018,,With Assistance,-42.88177,147.40387,Franklin,,
,Tranmere Hall,Tranmere Hall,"27 Tranmere Rd,",HOWRAH,TAS,7018,,With Assistance,-42.891,147.40872,Franklin,,
,Huonville Primary School,Huonville Primary School,"74 Wilmot Rd,",HUONVILLE,TAS,7109,multipurpose room,Full,-43.023734,147.046989,Franklin,,
,Judbury Community Centre,Judbury Community Centre,"1273 Glen Huon Rd,",JUDBURY,TAS,7109,,With Assistance,-42.9981,146.92811,Franklin,,
,Kettering Community Centre,Kettering Community Centre,"2963 Channel Hwy,",KETTERING,TAS,7050,,With Assistance,-43.12566,147.2467,Franklin,,
,Kingborough Council,Kingborough Council,"15 Channel Hwy,",KINGSTON,TAS,7050,Council Chambers,Full,-42.97557,147.31149,Franklin,,
,Southern Christian College,Southern Christian College,"150 Redwood Rd,",KINGSTON,TAS,7050,Lower Hall,With Assistance,-42.99049,147.3089,Franklin,,
,Kingston Beach Community Hall,Kingston Beach Community Hall,"20 Beach Rd,",KINGSTON BEACH,TAS,7050,,With Assistance,-42.98102,147.32245,Franklin,,
,Lauderdale Community Hall,Lauderdale Community Hall,"528a South Arm Rd,",LAUDERDALE,TAS,7021,,With Assistance,-42.91365,147.48638,Franklin,,
