ec_id,Division,Polling_Place_Name,Premise_Name,Premise_Address_Line_1,Premise_Address_Line_2,Premise_Locality,Premise_State,Premise_Postcode,Location_Within_Premise,Access_To_Location,Disabled_Access,VI_Vote_service,Premise_Latitude,Premise_Longitude
,Franklin,Tranmere,Tranmere Hall,27 Tranmere Rd,,Howrah,TAS,7018,,,Assistance,,-42.891,147.40872
,Franklin,Huonville,Huonville Primary School,74 Wilmot Rd,,Huonville,TAS,7109,Multipurpose room,,Assistance,,-43.023734,147.046989
,Franklin,Judbury,Judbury Community Centre,1273 Glen Huon Rd,,Judbury,TAS,7109,,,Assistance,,-42.9981,146.92811
,Franklin,Kettering,Kettering Community Centre,2963 Channel Hwy,,Kettering,TAS,7050,,,Assistance,,-43.12566,147.2467
,Franklin,Kingston,Kingborough Community Hub,7 Goshawk Way,,Kingston,TAS,7050,Auditorium,,Assistance,,-42.9742845,147.307944
,Franklin,Maranoa Heights,Southern Christian College,150 Redwood Rd,,Kingston,TAS,7050,Lower hall,,Assistance,,-42.99054,147.30882
,Franklin,Kingston Beach,Kingston Beach Community Hall,20 Beach Rd,,Kingston Beach,TAS,7050,,,Assistance,,-42.98102,147.32245
,Franklin,Lauderdale,Lauderdale Primary Sports Centre,Lauderdale Primary School,3 Acton Rd,Lauderdale,TAS,7021,Gym,,Assistance,,-42.90361386,147.4802177
,Franklin,Lindisfarne Village,Lindisfarne Community Activities Centre,37A Lincoln St,,Lindisfarne,TAS,7015,Roadside Hall,,Assistance,,-42.847191,147.355152
,Franklin,Lindisfarne,Lindisfarne Primary School,17 Loatta Rd,,Lindisfarne,TAS,7015,General purpose room,,Assistance,,-42.85178,147.36341
,Franklin,Margate,Margate Primary School,7 Van Morey Rd,,Margate,TAS,7054,Gym,,Assistance,,-43.02826429,147.2609717
,Franklin,Middleton,South Channel Community Centre,McDowall St,,Middleton,TAS,7163,,,Assistance,,-43.2313,147.25573
,Franklin,Montagu Bay,Montagu Bay Primary School,10 Conara Rd,,Montagu Bay,TAS,7018,Hall,,None,,-42.86439,147.35336
,Franklin,Mornington,Citywide Baptist Church,400 Cambridge Rd,,Mornington,TAS,7018,Lounge room,,Assistance,,-42.85588,147.40216
,Franklin,Ranelagh,Ranelagh Soldiers Memorial Hall,40 Marguerite St,,Ranelagh,TAS,7109,,,Assistance,,-43.00901,147.03856
,Franklin,Risdon Vale,Risdon Vale Primary School,2 Heather Rd,,Risdon Vale,TAS,7016,,,Assistance,,-42.81283,147.35367
,Franklin,Rokeby,Emmanuel Christian School,1 Chipmans Rd,,Rokeby,TAS,7019,Foyer,,Assistance,,-42.900608,147.439002
,Franklin,Sandfly,Sandfly Hall,811 Sandfly Rd,,Sandfly,TAS,7150,,,Assistance,,-42.98497,147.19567
,Franklin,Sandford,Sandford Hall,949 South Arm Rd,,Sandford,TAS,7020,,,None,,-42.94002,147.49566
,Franklin,Seven Mile Beach,Club Wyndham,78 Surf Rd,,Seven Mile Beach,TAS,7170,Beaches Function Centre,,Assistance,,-42.85432,147.5113
,Franklin,Snug,Snug Primary School,2208 Channel Hwy,,Snug,TAS,7054,Hall,,Assistance,,-43.06542,147.25411
,Franklin,South Arm,South Arm Primary School,32 Harmony Lane,,South Arm,TAS,7022,Gym,,Assistance,,-43.02613,147.42013
,Franklin,Southport,Southport Community Centre,8606 Huon Hwy,,Southport,TAS,7109,,,Assistance,,-43.415763,146.961547
,Franklin,Warrane,Eastside Lutheran College,15 Acorn Dr,,Warrane,TAS,7018,St Peters Church Hall,,Assistance,,-42.85189241,147.3845626
,Franklin,Woodbridge,Woodbridge Hall,3445 Channel Hwy,,Woodbridge,TAS,7162,,,Assistance,,-43.15999,147.23914
,Lyons,Avoca,Avoca War Memorial Hall,3 Falmouth St,,Avoca,TAS,7213,,,Assistance,,-41.78247345,147.7192787
,Lyons,Bagdad,Bagdad Primary School,46-48 School Rd,,Bagdad,TAS,7030,Hall,,Assistance,,-42.62434,147.22359
,Lyons,Bicheno,Bicheno War Memorial Hall,78 Burgess St,,Bicheno,TAS,7215,,,Assistance,,-41.87260055,148.3046221
,Lyons,Bothwell,Bothwell Town Hall,Alexander St,,Bothwell,TAS,7030,,,Assistance,,-42.38228,147.00629
