ec_id,name,premises,address,lat,lon,divisions,state,wheelchair_access
,Collie-Preston District - Election Day and Early Polling Place,,"Collie Club Inc, 55 Wittenoom Street, COLLIE WA 6225",-33.36201,116.15467,Collie-Preston,WA,None
,Dardanup Primary School,,"48 Hayward Street, DARDANUP WA 6236",-33.40089700,115.75758100,Collie-Preston,WA,Full
,Donnybrook Soldiers Memorial Hall,,"1 Bentley Street, DONNYBROOK WA 6239",-33.57594500,115.82317400,Collie-Preston,WA,Full
,Eaton Community College,,"20 Recreation Drive, EATON WA 6232",-33.31865000,115.72104000,Collie-Preston,WA,Full
,Eaton Primary School,,"35 Diadem Street, EATON WA 6232",-33.32166667,115.70222220,Collie-Preston,WA,Full
,Fairview Primary School,,"Vernon Street, COLLIE WA 6225",-33.34865,116.16790,Collie-Preston,WA,Full
,Ferguson Hall,,"945 Ferguson Road, FERGUSON WA 6236",-33.43163800,115.83758500,Collie-Preston,WA,Full
,Gelorup Community Centre,,"40 Hasties Road, GELORUP WA 6230",-33.40991600,115.64164500,Collie-Preston,WA,Full
,Kirup Hall,,"39 South Western Highway, KIRUP WA 6251",-33.70580000,115.89300000,Collie-Preston,WA,None
,River Valley Primary School,,"51 Russell Road, BUREKUP WA 6227",-33.30844000,115.81494000,Collie-Preston,WA,Full
,Treendale Primary School,,"5 Opal Drive, AUSTRALIND WA 6233",-33.28194700,115.73555900,Collie-Preston,WA,Full
,Yabberup Hall,,"5 Yabberup Road, LOWDEN WA 6240",-33.53718900,116.00736900,Collie-Preston,WA,None
,Alf Adams Pavilion,,"Soloman Street, MOSMAN PARK WA 6012",-32.00948000,115.76339200,Cottesloe,WA,Full
,City Beach Primary School,,"30 Marapana Road, CITY BEACH WA 6015",-31.93599000,115.76495000,Cottesloe,WA,Full
,Cottesloe District - Election Day and Early Polling Place,,"War Memorial Hall, 109 Broome Street, COTTESLOE WA 6011",-31.993577,115.755641,Cottesloe,WA,None
,Cottesloe Primary School,,"530 Stirling Highway, PEPPERMINT GROVE WA 6011",-32.00204600,115.76097200,Cottesloe,WA,None
,Freshwater Bay Primary School,,"Bay View Terrace, CLAREMONT WA 6010",-31.98585700,115.78194000,Nedlands,WA,None
,Mount Claremont Primary School,,"103 Alfred Road, MOUNT CLAREMONT WA 6010",-31.96840500,115.78311200,Cottesloe,WA,None
,North Cottesloe Primary School,,"100 Eric Street, COTTESLOE WA 6011",-31.98943000,115.76542000,Cottesloe,WA,None
,North Fremantle Primary School,,"30 John Street, NORTH FREMANTLE WA 6159",-32.03450000,115.75697800,Cottesloe,WA,None
,Saint Hilda's Anglican School for Girls - Chidley Campus,,"McCabe Street, MOSMAN PARK WA 6012",-32.02038700,115.77325000,Cottesloe,WA,Full
,Swanbourne Primary School,,"3 Narla Road, SWANBOURNE WA 6010",-31.97337100,115.77023000,Cottesloe,WA,Full
,Byford Primary School,,"36 Clifton Street, BYFORD WA 6122",-32.219434,116.011714,Darling Range,WA,Full
,Byford Secondary College,,"57 Abernethy Road, BYFORD WA 6122",-32.222006,116.001639,Darling Range,WA,Full
,Casuarina Wellard Community Hall,,"Corner Mortimer & Barker Roads, WELLARD WA 6170",-32.25566300,115.87254600,Darling Range,WA,Full
,Darling Range District - Election Day and Early Polling Place,,"2/821 South Western Highway, BYFORD WA 6122",-32.217249,116.008566,Darling Range,WA,Full
,Jarrahdale Primary School,,"20 Wanliss Street, JARRAHDALE WA 6124",-32.33928500,116.06229500,Darling Range,WA,None
,Mundijong Primary School,,"Livesey Street, MUNDIJONG WA 6123",-32.29068800,115.98517100,Darling Range,WA,Full
,Roleystone Community College,,"90 Raeburn Road, ROLEYSTONE WA 6111",-32.102961,116.084162,Darling Range,WA,Full
,Roleystone Family Centre,,"19 Wygonda Road, ROLEYSTONE WA 6111",-32.112338,116.068048,Darling Range,WA,Full
,Serpentine Primary School,,"45 Lefroy Street, SERPENTINE WA 6125",-32.36578000,115.98092000,Darling Range,WA,Full
,Southern Hills Christian College,,"86 Admiral Road, BEDFORDALE WA 6112",-32.182039,116.049307,Darling Range,WA,Full
,West Byford Primary School,,"101 Kardan Boulevard, BYFORD WA 6122",-32.21527400,115.97906400,Darling Range,WA,Full
,Dawesville District - Election Day and Early Polling Place,,"10/2 Rutland Drive, HALLS HEAD WA 6210",-32.546828,115.705905,Dawesville,WA,None
,Elevation Church Hall,,"240 McLarty Road, HALLS HEAD WA 6210",-32.53963400,115.69374700,Dawesville,WA,Full
,Falcon Primary School,,"30 Baloo Crescent, FALCON WA 6210",-32.59302000,115.64322000,Dawesville,WA,None
,Falcon Reserve Football Pavilion,,"49 Lynda Street, FALCON WA 6210",-32.57904400,115.66104500,Dawesville,WA,Full
,Glencoe Primary School,,"Glencoe Parade, HALLS HEAD WA 6210",-32.542175,115.70402,Dawesville,WA,None
,Halls Head Primary School,,"21 Oleander Place, HALLS HEAD WA 6210",-32.55072000,115.69552000,Dawesville,WA,None
,Ocean Road Primary School,,"15 Ocean Road, DAWESVILLE WA 6211",-32.62423000,115.63044000,Dawesville,WA,None
,South Halls Head Primary School,,"38 Karon Vista, HALLS HEAD WA 6210",-32.56410000,115.67874000,Dawesville,WA,Full
,Darling Range Sports College,,"A Block/117 Berkshire Road, FORRESTFIELD WA 6058",-31.97593000,116.00966800,Forrestfield,WA,None
,Edney Primary School,,"204 Newburn Road, HIGH WYCOMBE WA 6057",-31.94738900,116.00703700,Forrestfield,WA,Full
,Forrestfield Primary School,,"45 Sussex Road, FORRESTFIELD WA 6058",-31.99081000,116.00824000,Forrestfield,WA,Full
,Gooseberry Hill Primary School,,"24 Ledger Road, GOOSEBERRY HILL WA 6076",-31.95611300,116.05606600,Forrestfield,WA,Full
