name,premises,address,lat,lon,state,wheelchair_access
Brigalow,Brigalow State School,"24409 Warrego Highway, BRIGALOW, QLD Australia 4412",-26.8365681,150.7790145,QLD,Assisted Access
Brighton,Brighton State School Sports Hall,"2 North Road, BRIGHTON, QLD Australia 4017",-27.294332999999998,153.052225,QLD,Full Access
Brighton South,Nashville State School Hall,"Douglas Street, NASHVILLE, QLD Australia 4017",-27.30724151,153.05085361,QLD,Full Access
Brinsmead,Brinsmead Community Hall,"85 Loridan Drive, BRINSMEAD, QLD Australia 4870",-16.897761,145.714471,QLD,Full Access
Brisbane CBD,"Brisbane City Hall, Sandgate Room.","64 Adelaide Street, BRISBANE, QLD Australia 4000",-27.468943,153.0234041,QLD,No Access
Broadbeach,Broadbeach State School,"1-19 Alexandra Avenue, BROADBEACH, QLD Australia 4218",-28.035114999999998,153.434353,QLD,Assisted Access
Broadwater,Broadwater State School,"638 Texas Road, STANTHORPE, QLD Australia 4380",-28.6550355,151.8784056,QLD,Assisted Access
Brookfield,Brookfield State School,"18 Boscombe Road, BROOKFIELD, QLD Australia 4069",-27.49516727,152.91352987,QLD,Full Access
Brooklands,Brooklands Rural Fire Brigade,"Lord Street, Brooklands, QLD Australia 4615",-26.74308576,151.81834638,QLD,Full Access
Brookstead,Brookstead State School,"30 Ware Road, BROOKSTEAD, QLD Australia 4364",-27.7598678,151.44481659,QLD,Full Access
Brooweena,Brooweena State School,"Lahey Street, BROOWEENA, QLD Australia 4620",-25.59888348,152.26154923,QLD,Full Access
Browns Plains,Browns Plains State School,"1-29 Mayfair Drive, BROWNS PLAINS, QLD Australia 4118",-27.668314,153.053888,QLD,Full Access
Bucasia,Bucasia State School,"76 Kemp Street, BUCASIA, QLD Australia 4750",-21.031354,149.157732,QLD,Full Access
Buddina,Kawana Community Hall,"30 Nanyima Street, Buddina, QLD Australia 4575",-26.6997696,153.13242294,QLD,Full Access
Buderim,Buderim Mountain State School Hall,"8-42 Main Street, BUDERIM, QLD Australia 4556",-26.68455349,153.0535841,QLD,Full Access
Buderim North,Lakeshore Community Church of Christ Hall,"1 Lakeshore Avenue, BUDERIM, QLD Australia 4556",-26.66656369,153.06359679,QLD,Full Access
Buderim East,Gumnuts Childcare Centre,"58-60 Buderim Pines Drive, BUDERIM, QLD Australia 4556",-26.688862,153.085424,QLD,Assisted Access
Buderim South,Fusion Alcooringa Centre,"176 Ballinger Road, BUDERIM, QLD Australia 4556",-26.701392,153.06645,QLD,Full Access
Bulimba,St John the Baptist Anglican Church Hall,"171 Oxford Street, BULIMBA, QLD Australia 4171",-27.451689,153.059802,QLD,Full Access
Bullyard,Bullyard State School,"2359 Bucca Road, BULLYARD, QLD Australia 4671",-24.94996425,152.06083417,QLD,Full Access
Bundaberg,Christ Church Bundaberg Hall,"59 Woongarra Street, BUNDABERG CENTRAL, QLD Australia 4670",-24.8674607,152.3472358,QLD,Full Access
Bundaberg East,Bundaberg East State School,"33 Scotland Street, BUNDABERG EAST, QLD Australia 4670",-24.861659,152.373055,QLD,Full Access
Bundaberg North,Bundaberg North State School,"Mt Perry Road, BUNDABERG NORTH, QLD Australia 4670",-24.85201237,152.34030962,QLD,Full Access
Bundaberg South,Bundaberg South State School,"Walla Street, BUNDABERG, QLD Australia 4670",-24.870659,152.360856,QLD,Full Access
Bundaberg West,Bundaberg West State School,"Steffensen Street, BUNDABERG WEST, QLD Australia 4670",-24.875833333333002,152.332999999999,QLD,Full Access
Bundamba South,Bundamba State School,"221 Brisbane Road, BUNDAMBA, QLD Australia 4304",-27.612139,152.80503299999998,QLD,Full Access
Westbrook,Bunkers Hill State School,"315 Bunkers Hill School Road, WESTBROOK, QLD Australia 4350",-27.60627217,151.83375299,QLD,Full Access
Everton Hills,Hills Church,"79 Queens Road, EVERTON HILLS, QLD Australia 4053",-27.38534919,152.98154771,QLD,Full Access
Burleigh Heads,Burleigh Heads State School,"1750 Lower Gold Coast Highway, BURLEIGH HEADS, QLD Australia 4220",-28.08723948,153.44902217,QLD,Full Access
Burleigh North,Burleigh Heads RSL Hall,"8 Sixth Avenue, BURLEIGH HEADS, QLD Australia 4220",-28.076849,153.446204,QLD,Assisted Access
Burnett Heads,Burnett Heads State School,"52 Burnett Heads Road, BURNETT HEADS, QLD Australia 4670",-24.77182104,152.41497159,QLD,Full Access
Burnside,Burnside State School,"51 Blaxland Road, Burnside, QLD Australia 4560",-26.630449,152.948245,QLD,Full Access
Burpengary West,Burpengary State School,"35 Station Road, BURPENGARY, QLD Australia 4505",-27.15806121,152.95908988,QLD,Assisted Access
Burpengary East,The Artisans' Guild,"Cnr Old Bay & Maitland Roads, BURPENGARY EAST, QLD Australia 4505",-27.1577796,152.99001575,QLD,Full Access
